"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "PostCSS", "TypeScript JSX", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\ApprovalQueue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\EventManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\QRScanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\admin\RegistrantTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\common\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\common\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 0, 3, 8, 95
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\common\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 5, 8, 69
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\common\LoadingSpinner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\common\Modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\common\QRCodeDisplay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\events\EventCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 0, 0, 7, 19, 185
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\events\EventCarousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 5, 15, 125
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\events\EventDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\events\EventList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\forms\EventFilters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\forms\RegistrationForm\ConfirmationStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\forms\RegistrationForm\OTPVerificationStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\forms\RegistrationForm\PersonalInfoStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\forms\RegistrationForm\PhotoCaptureStep.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\forms\RegistrationForm\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\layout\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\layout\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\components\layout\AuthGuard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 6, 25
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 8, 22, 144
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\context\EventContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 325, 0, 0, 0, 16, 30, 371
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\context\NotificationContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\hooks\useAuth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\hooks\useCamera.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\hooks\useEvents.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\hooks\useLocalStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\hooks\useOTP.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\hooks\useRegistration.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 8, 39
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\layouts\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 128, 0, 0, 0, 13, 12, 153
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\lib\api.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 34
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\EventDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\EventsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 203, 0, 0, 0, 15, 19, 237
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\LandingPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 245, 0, 0, 0, 25, 30, 300
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 282, 0, 0, 0, 10, 19, 311
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\RegistrationPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 331, 0, 0, 0, 13, 44, 388
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\AdminDashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 479, 0, 0, 0, 31, 44, 554
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\AdminLogin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\AuditLogs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 168, 0, 0, 0, 2, 15, 185
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\EventManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 363, 0, 0, 0, 9, 36, 408
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\EventManagers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 217, 0, 0, 0, 17, 22, 256
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\EventRegistrants.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 174, 0, 0, 0, 14, 18, 206
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\Statistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 150, 0, 0, 0, 5, 20, 175
"c:\Users\Ethan\online-barangay-registration\online-barangay-registration-frontend\src\pages\admin\UserManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 261, 0, 0, 0, 0, 26, 287
